id,uid,expt_id,duration,true,pred,age,gender,expert,filename
1246,148f6384e3be6622859874241732d8fb,2,500,1,0,23,male,0,real-blur/real-blur-11.jpg
1247,148f6384e3be6622859874241732d8fb,2,500,1,0,23,male,0,real-blur/real-blur-50.jpg
1248,148f6384e3be6622859874241732d8fb,2,500,0,1,23,male,0,gan-blur/gan-blur-13.jpg
1249,148f6384e3be6622859874241732d8fb,2,5000,0,0,23,male,0,gan-blur/gan-blur-10.jpg
1250,148f6384e3be6622859874241732d8fb,2,5000,0,1,23,male,0,gan-blur/gan-blur-33.jpg
1251,148f6384e3be6622859874241732d8fb,2,5000,0,1,23,male,0,gan-blur/gan-blur-39.jpg
1252,148f6384e3be6622859874241732d8fb,2,5000,1,1,23,male,0,real-blur/real-blur-12.jpg
1253,148f6384e3be6622859874241732d8fb,2,5000,0,0,23,male,0,gan-blur/gan-blur-35.jpg
1254,148f6384e3be6622859874241732d8fb,2,5000,1,0,23,male,0,real-blur/real-blur-40.jpg
1255,148f6384e3be6622859874241732d8fb,2,1000,1,0,23,male,0,real-blur/real-blur-66.jpg
1256,148f6384e3be6622859874241732d8fb,2,1000,1,1,23,male,0,real-blur/real-blur-13.jpg
1257,148f6384e3be6622859874241732d8fb,2,1000,1,0,23,male,0,real-blur/real-blur-38.jpg
1258,148f6384e3be6622859874241732d8fb,2,1000,0,1,23,male,0,gan-blur/gan-blur-15.jpg
1259,148f6384e3be6622859874241732d8fb,2,1000,1,0,23,male,0,real-blur/real-blur-37.jpg
1260,148f6384e3be6622859874241732d8fb,2,1000,1,1,23,male,0,real-blur/real-blur-23.jpg
1261,a4bb57c5ec6b14a62238042ccdff78f4,1,250,0,1,25,male,0,gan/gan-41.jpg
1262,a4bb57c5ec6b14a62238042ccdff78f4,1,250,0,0,25,male,0,gan/gan-29.jpg
1263,a4bb57c5ec6b14a62238042ccdff78f4,1,250,0,0,25,male,0,gan/gan-19.jpg
1264,a4bb57c5ec6b14a62238042ccdff78f4,1,250,1,1,25,male,0,real/real-34.jpg
1265,a4bb57c5ec6b14a62238042ccdff78f4,1,250,0,0,25,male,0,gan/gan-35.jpg
1266,a4bb57c5ec6b14a62238042ccdff78f4,1,250,1,0,25,male,0,real/real-15.jpg
1267,a4bb57c5ec6b14a62238042ccdff78f4,1,500,1,0,25,male,0,real/real-2.jpg
1268,a4bb57c5ec6b14a62238042ccdff78f4,1,500,0,0,25,male,0,gan/gan-9.jpg
1269,a4bb57c5ec6b14a62238042ccdff78f4,1,500,0,0,25,male,0,gan/gan-16.jpg
1270,a4bb57c5ec6b14a62238042ccdff78f4,1,500,1,1,25,male,0,real/real-19.jpg
1271,a4bb57c5ec6b14a62238042ccdff78f4,1,500,0,0,25,male,0,gan/gan-10.jpg
1272,a4bb57c5ec6b14a62238042ccdff78f4,1,500,0,1,25,male,0,gan/gan-21.jpg
1273,d705844fc653f27afc107201cacd0daa,1,250,1,1,99,other,0,real/real-10.jpg
1274,d705844fc653f27afc107201cacd0daa,1,250,0,0,99,other,0,gan/gan-5.jpg
1275,d705844fc653f27afc107201cacd0daa,1,250,1,1,99,other,0,real/real-41.jpg
1276,d705844fc653f27afc107201cacd0daa,1,250,1,0,99,other,0,real/real-18.jpg
1277,d705844fc653f27afc107201cacd0daa,1,250,0,1,99,other,0,gan/gan-9.jpg
1278,d705844fc653f27afc107201cacd0daa,1,250,0,1,99,other,0,gan/gan-27.jpg
1279,d705844fc653f27afc107201cacd0daa,1,5000,0,0,99,other,0,gan/gan-22.jpg
